Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4390745;0,8015397;0,6860973;345,9235;17,37146;359,1031
0,4391421;0,8017232;0,6862618;345,9352;17,37242;359,1007
0,4389694;0,8014878;0,6862015;345,9261;17,36337;359,096
0,438979;0,8014798;0,6861942;345,9244;17,37237;359,0899
0,438894;0,8013953;0,6861252;345,9208;17,37061;359,0794
0,4388914;0,801369;0,6861174;345,9231;17,37582;359,0741
0,4388766;0,8013577;0,6861087;345,9273;17,37514;359,0715
0,4388502;0,8012856;0,6860797;345,9292;17,37831;359,0624
0,4388266;0,8012568;0,6860707;345,9279;17,37998;359,0646
0,438803;0,8011979;0,6860412;345,9202;17,37839;359,0643
0,4386968;0,8011665;0,6860148;345,9209;17,37267;359,0758
0,4386796;0,8012019;0,6860089;345,9199;17,3749;359,0768
0,4386759;0,8012081;0,6860551;345,9243;17,38027;359,058
0,4387583;0,8011804;0,686213;345,9335;17,38084;359,0449
0,4387362;0,8011641;0,6862004;345,934;17,38082;359,0519
0,438704;0,8011076;0,6861761;345,9301;17,38126;359,056
0,4384487;0,8010007;0,6855301;345,8987;17,39318;359,0616
0,4384283;0,8010039;0,6854795;345,9041;17,38882;359,0733
0,4384009;0,8010221;0,6854371;345,9009;17,38552;359,0798
0,4383475;0,8015964;0,6860763;345,93;17,36835;359,098
0,4386595;0,8010288;0,686489;345,9542;17,36893;359,0875
0,4386494;0,8010021;0,6865348;345,9522;17,36746;359,0922
0,4383097;0,8009059;0,6857924;345,9134;17,3847;359,0873
0,4382733;0,8008935;0,6857729;345,9128;17,37763;359,0993
0,4382539;0,8008869;0,6857495;345,9103;17,37938;359,0963
0,438817;0,8011575;0,6860069;345,9283;17,37416;359,103
0,4388194;0,8011316;0,6859915;345,9274;17,37464;359,0981
0,438821;0,8010978;0,6859816;345,9289;17,37731;359,0961
0,4390128;0,8014762;0,6864438;345,9402;17,35859;359,1119
0,4390087;0,8014506;0,6864694;345,9431;17,3603;359,112
0,4390025;0,8014334;0,686508;345,9425;17,3574;359,1201
0,4390188;0,8015835;0,6860854;345,9141;17,36191;359,1265
0,4390169;0,801598;0,686062;345,91;17,36454;359,1137
0,4390086;0,8015624;0,686044;345,9209;17,36364;359,0999
0,4389105;0,8013985;0,6861238;345,9211;17,37081;359,0944
0,4388878;0,8013646;0,6861004;345,9223;17,36462;359,0952
0,4388825;0,8013457;0,686089;345,9209;17,36646;359,0933
0,4388225;0,801375;0,6862493;345,9268;17,3625;359,0879
0,438799;0,8013733;0,6862597;345,9287;17,36086;359,0823
0,438789;0,8013591;0,6862636;345,9272;17,36473;359,0735
0,4388129;0,8013418;0,6858619;345,9089;17,3735;359,0662
0,438803;0,8013335;0,6858165;345,91;17,37009;359,0652
0,4388076;0,8013191;0,6857795;345,9071;17,37383;359,0705
0,438833;0,8009493;0,6861194;345,932;17,37075;359,0598
0,4388423;0,8009031;0,6861277;345,936;17,37164;359,0514
0,4388453;0,800856;0,6861272;345,934;17,37066;359,0484
0,4386292;0,8010247;0,68612;345,9264;17,36878;359,0524
0,4386008;0,8009938;0,6861309;345,9262;17,36559;359,0506
0,4385994;0,8009571;0,6861417;345,9265;17,36833;359,0513
0,4384658;0,8009367;0,6857761;345,9106;17,37512;359,0533
0,4384437;0,8009139;0,685758;345,9088;17,37289;359,0504
0,4384271;0,8008897;0,6857245;345,9024;17,37749;359,0519
0,4384977;0,8012421;0,6860751;345,9269;17,3683;359,0709
0,438492;0,8008938;0,6862;345,9314;17,3646;359,0651
0,4384605;0,8008613;0,6862011;345,9298;17,36719;359,0663
0,4382932;0,8008227;0,6858976;345,9114;17,37415;359,0647
0,4382638;0,8007904;0,6858902;345,9131;17,37496;359,0668
0,438226;0,8007609;0,6858652;345,9174;17,37325;359,0722
0,4382293;0,8007103;0,6858064;345,9185;17,38632;359,0663
0,4381807;0,8006948;0,6857849;345,9189;17,37455;359,0708
0,438175;0,8006787;0,6857574;345,9149;17,38329;359,0725
0,4383105;0,8007478;0,6860082;345,9327;17,37721;359,0736
0,4382931;0,8007243;0,6860086;345,9311;17,37236;359,0734
0,4382759;0,8006951;0,6860157;345,9308;17,37418;359,0805
0,4384699;0,8008961;0,6858748;345,9248;17,37938;359,077
0,4384514;0,800884;0,685859;345,9207;17,37718;359,0844
0,4384507;0,8008694;0,6858407;345,921;17,38174;359,0812
0,4384164;0,8008014;0,6859322;345,9302;17,38231;359,073
0,4384054;0,8007705;0,6859238;345,9318;17,3823;359,0729
0,4383938;0,8007563;0,6859221;345,9286;17,38214;359,0651
0,4387469;0,8010733;0,6861726;345,9427;17,3773;359,0632
0,4387447;0,8010668;0,6861885;345,9435;17,37773;359,0619
